dataid,air1,"	air2","	air3","	airwindowunit1","	aquarium1","	bathroom1","	bathroom2","	bedroom1","	bedroom2","	bedroom3","	bedroom4","	bedroom5","	car1","	clotheswasher1","	clotheswasher_dryg1","	diningroom1","	diningroom2","	dishwasher1","	disposal1","	drye1","	dryg1","	freezer1","	furnace1","	furnace2","	garage1","	garage2","	gen","	grid","	heater1","	housefan1","	icemaker1","	jacuzzi1","	kitchen1","	kitchen2","	kitchenapp1","	kitchenapp2","	lights_plugs1","	lights_plugs2","	lights_plugs3","	lights_plugs4","	lights_plugs5","	lights_plugs6","	livingroom1","	livingroom2","	microwave1","	office1","	outsidelights_plugs1","	outsidelights_plugs2","	oven1","	oven2","	pool1","	pool2","	poollight1","	poolpump1","	pump1","	range1","	refrigerator1","	refrigerator2","	security1","	shed1","	sprinkler1","	utilityroom1","	venthood1","	waterheater1","	waterheater2","	winecooler1","	use"
7739,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6214.834217,-2302.21805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3950.084167
580,2553.570385,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,184.0591686,NULL,NULL,51.84084051,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11030.54459,NULL,NULL,NULL,NULL,6.728548127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,341.5972506,NULL,NULL,NULL,NULL,861.8261343,NULL,NULL,793.2935337,443.391898,NULL,NULL,NULL,NULL,NULL,NULL,NULL,496.0121561,11030.54459
5568,855.8921,2501.221742,NULL,NULL,NULL,65.89576187,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34.52655185,NULL,430.2620736,NULL,48.01199525,25.75986316,840.10728,NULL,NULL,137.4999212,939.4474226,25.21796667,NULL,NULL,10086.64869,NULL,NULL,NULL,0.1494,NULL,NULL,132.1472433,22.57631983,50.7271,5.585216667,NULL,NULL,NULL,NULL,NULL,NULL,21.37357819,NULL,NULL,NULL,72.50468503,NULL,NULL,NULL,NULL,NULL,NULL,0.186639126,859.4066986,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10086.64869
698,1.084083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,51.13405,NULL,NULL,NULL,NULL,NULL,97.75153333,NULL,NULL,446.9566607,NULL,NULL,NULL,3071.687496,1523.701087,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1374.469183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,242.3207638,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4614.816816
9340,685.0679846,NULL,NULL,NULL,NULL,117.9672788,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.100824576,NULL,NULL,NULL,NULL,262.7696845,NULL,NULL,NULL,NULL,2043.903598,NULL,NULL,NULL,NULL,NULL,NULL,46.69864944,200.2528504,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,357.8414667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2043.903598
1714,5897.312449,NULL,NULL,0,NULL,0,280.1636475,NULL,NULL,NULL,NULL,NULL,2092.409865,121.1715091,NULL,NULL,NULL,184.7227256,NULL,390.7690088,NULL,NULL,NULL,NULL,NULL,NULL,6719.852862,10173.97685,NULL,NULL,NULL,NULL,163.635135,NULL,290.377983,NULL,2430.434744,2104.958185,NULL,NULL,NULL,NULL,843.5335496,141.7776607,NULL,NULL,2.214595007,1653.182998,111.6202218,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,16893.73604
6536,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12.5248,NULL,NULL,NULL,0,0.32875,412.7516167,NULL,NULL,190.62245,NULL,NULL,NULL,NULL,3094.975383,NULL,NULL,NULL,NULL,NULL,NULL,7.743083333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,244.00375,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,491.6734333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3094.975383
9213,58.8909,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,20.14926667,NULL,NULL,NULL,63.20495,0.072616667,NULL,22.12115,NULL,22.3158,NULL,NULL,NULL,NULL,1222.615586,NULL,NULL,NULL,NULL,NULL,NULL,20.14421667,5.450233333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,44.02961667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,200.6239202,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1222.615586
2335,3999.833835,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1930.884677,67.13939389,NULL,NULL,NULL,59.44410103,0.367769012,683.888682,NULL,NULL,1925.888595,NULL,NULL,NULL,7444.050888,6714.28901,NULL,NULL,NULL,NULL,NULL,NULL,6.351935158,252.3952175,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,56.44986778,NULL,NULL,NULL,133.9144839,190.8682046,NULL,NULL,NULL,NULL,NULL,NULL,853.3191747,NULL,NULL,NULL,NULL,NULL,7.03357609,NULL,NULL,NULL,14202.03117
6888,NULL,NULL,NULL,NULL,NULL,8.946825086,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,107.8691607,NULL,NULL,NULL,NULL,353.9324473,1035.763543,9.109593653,52.66080659,6703.847684,-902.3852805,NULL,NULL,NULL,0.000716667,NULL,NULL,NULL,NULL,70.73550866,99.02679001,NULL,NULL,NULL,NULL,NULL,NULL,28.76345769,NULL,NULL,NULL,90.94722674,NULL,NULL,NULL,NULL,NULL,NULL,NULL,573.2717125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5801.813768
100235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5015.54975,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7662.2099
6012,NULL,NULL,NULL,NULL,NULL,60.5324,NULL,NULL,NULL,NULL,NULL,NULL,NULL,45.67663333,NULL,NULL,NULL,0.005383333,NULL,436.1127333,NULL,NULL,785.07025,NULL,NULL,NULL,NULL,3700.382,NULL,NULL,NULL,NULL,NULL,NULL,22.54683333,14.29743333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,363.91045,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3700.382
171,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7094.941283,402.6669,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7531.934783
8890,4353.210333,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7204.5267,2609.706117,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9814.223767
2129,4104.94005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7104.240671,7458.704349,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,55.61608966,80.69097644,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14588.5091
2710,3599.792301,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,52.50151667,NULL,NULL,NULL,1.88065,NULL,1192.06823,NULL,NULL,1115.250913,195.0702206,NULL,NULL,NULL,21084.9815,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,76.67964379,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,311.1141333,2012.609006,NULL,NULL,NULL,NULL,NULL,NULL,2065.077967,NULL,NULL,21084.9815
2667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,17.4348,NULL,NULL,NULL,134.0655833,NULL,440.9603,NULL,NULL,1055.977333,NULL,NULL,NULL,NULL,5026.50455,NULL,NULL,NULL,NULL,NULL,NULL,25.58561667,9.590216667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,219.8629833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,428.49545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5026.50455
4946,1872.537717,2275.804067,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,58.96965,NULL,NULL,NULL,242.8375833,NULL,498.6318,NULL,NULL,757.54135,665.8002833,NULL,NULL,NULL,11852.1715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,75.98458333,465.8780833,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,725.08055,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,11852.1715
9201,797.2467,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.00145,0.185666667,NULL,NULL,NULL,131.2628995,NULL,NULL,NULL,NULL,2350.591326,NULL,NULL,NULL,NULL,NULL,NULL,255.9848235,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,18.78393784,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2350.591326
2575,4388.79696,NULL,NULL,NULL,NULL,NULL,NULL,3.899602667,2.058223331,NULL,NULL,NULL,NULL,21.40408745,NULL,NULL,NULL,107.5872759,0.236196097,446.2394883,NULL,NULL,2205.612485,NULL,NULL,NULL,7997.457011,4230.408238,NULL,NULL,NULL,NULL,NULL,NULL,246.1985317,296.6368032,2273.685398,419.6092514,NULL,NULL,NULL,NULL,NULL,NULL,45.58150462,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,616.8522103,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12271.96938
8156,5397.242286,NULL,NULL,NULL,NULL,74.67571414,NULL,NULL,NULL,NULL,NULL,NULL,1380.031676,59.85277768,NULL,NULL,NULL,257.456008,NULL,641.1140274,NULL,NULL,2081.497361,NULL,NULL,NULL,8401.39931,6285.942391,NULL,NULL,NULL,NULL,NULL,NULL,226.0076422,96.6723143,153.1392515,613.026897,NULL,NULL,NULL,NULL,NULL,NULL,139.4021617,NULL,NULL,NULL,282.3668581,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1146.903434,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,14709.79914
347,322.9888127,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,4.412075132,0.080216667,NULL,NULL,NULL,113.9860247,NULL,NULL,NULL,NULL,1355.037418,NULL,NULL,NULL,NULL,NULL,NULL,NULL,60.85415575,239.5037204,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,188.857217,212.2959715,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1355.037418
2742,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7703.897717,1686.414933,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,9410.796283
